,POS_Tweet
62,memanfaatkan mengumpulkan buntung
63,serius pemain ketolong
64,hikakatnya mental celaru
65,pemulihannya susah tuh kuat
66,kelak tua bikin trauma
67,ada iki
68,temu temu memahami sulit
69,salah
70,kuat kayaknya hvu
71,cari
72,takut menguji
73,syifawahyuni
74,muttaqi keras nuubrgg
75,pjisung takut mental
76,bingung kakak jenuh
77,tunggu takutnya kena
78,ngelatih
79,takut
80,motornya keras
81,ngelihat rajanya terbukti
82,that
83,ciut ketemu ngapain menandakan
84,takut ulang mental
85,modelnya kena
86,masuk top
87,ketemu langsung ciut dianya
88,ijul bikin sedih kuat
89,anismar
90,sulit
91,susah
92,susah sih cepat mentul
93,membaik sulit mah
94,hanya finansial
95,susah ipar majikan
96,berat beda btcjctgzrh
97,otomatis susah hihi
98,mantan
99,beda ngejar langsung stop tergantung
100,aneh kalilah marah nuduh
101,belindch takut kuat
102,excitednya tepuk keras mental
103,hanya kena
104,sulit rombak
105,teriakan
106,nasibnya diketawain ngakunya kuat mental
107,langsung kena beballl
108,chanlmin merenung
109,memiliki dagangannya mengalami
110,ramai ramai kaya
111,gajinya bagus capai
112,serius sih
113,tugasnya setruk
114,menjatuhkan
115,ada
116,serius
117,serius
118,ngapain merendah meninggi merendahkan tahi
119,rosak gaduh
120,depressshot bingung sehat
121,masuk
122,hanya mental bingung
123,susah siapkan
124,aduh dilindungi kuat
125,berati
126,keras
127,cracknya mati
128,coba bantalnya dilempar ilmu
129,coba dilempar percaya
130,menghadapi
131,flikrii bagus sih lawannya berat mental
132,capeknya tuh teriakannya terngiang
133,cil
134,capai ajakan bergembira berlandaskan selesai perhatikan abai
135,bikin capai capai capai mengembangkan maksimal asli suka muncul
136,menerapkan menjaga menjalani produktif salah kunci sehat hati
137,nangis ada sehat suka
138,pergi enaknya mah ada
139,mengalami menjaga ingatpesanibu sudahdivaksintetap
140,sederhana menjaga
141,bantu penuhi medis berjuang garda menangani mengalami berdampak
142,ahh lelah
143,memiliki kaya kaya memiliki
144,nangis yak yaudah
145,sosial utuh bebas
146,singgung
147,bersukan sukan
148,habis mental
149,butuh temu aman
150,aman kakak
151,aman
152,lelah fisiknya pih
153,cepat selesai istirahat paksa
154,andrianhamdani mental
155,nangis aman kakak
156,aremafcofficial aman hahah
157,aman xbb
158,konsisten tanggung
159,takut kuat
160,mudah
161,suka wkwk twiternya aman aman suka membicarakan
162,drtadi
163,sehat yuuukkk
164,beda mudah
165,sih takut lemah
166,cari
167,dibeli cenderung bayar
168,takut mental
169,chachashafira
170,tulis aman
171,bebas
172,dennysiregar bebas tinggal kuat mental
173,aman
174,takut
175,cari
176,lepas
177,gandhawangi deonisiaarlinta mereda mengalami meringankan adadikompas
178,kekurangannya dehhh butuh ambil bikin
179,jatohnya dikatain butuh
180,blok lapas membagikan hangat ikhtiar lapas menjaga warganya pandemi
181,bebetul what sesak
182,berdamai membawa
183,alih alih dihancurkan akal
184,niii bolbal remuk
185,hanya berdampak mengalami
186,selamat mental
187,kuat jujur hanya smt merasakan nangis
188,orangnya katro percaya menganggap percaya kirain ada
189,tujuannya main diitung gasehat
190,sakit hati jahat mental
191,ditembak setangkai
192,perkuat
193,beda kayaknya sabar auhkaizwps
194,jujur anceloti taktiknya
195,erickthohir silalahi memalukan
196,kaya
197,tinggal cari
198,jaga
199,afifxavi susah
200,anti
201,aldeposesif anakmu mental
202,susah kalah wkwk
203,ada menyenangkan ada
204,turun terpapar profesional mengalami
205,digaungkan
206,mengangkat menyusun menulis suga jimin bts
207,prokernya ada mbahas
208,utama berasal sosial
209,menyadarkan
210,harinya lho menyadarkan harganya what
211,hanya memengaruhi cemas turunkan
212,hanya memengaruhi cemas turunkan
213,shamsiali rendah takut
214,takut dijadikan
215,kaya mental
216,bandung bohong gol
217,makan aman aman aman lambung xbb
218,dihari capai
219,aman
220,abis blundernya
221,takut tampil depannya
222,ccoknya main aman
223,darkzuii lupa selamat lupa hati
224,takut
225,mental
226,mental
227,lupa selamat lupa hati
228,wkwkwkwk hanya takut sendernya kena
229,lupa selamat lupa hati
230,kuat takut labrak
231,takut
232,mencari ada mencari
233,dipaksa cari merusak
234,jujur semenjak panas normal
235,hidupnya tenang tenang
236,hawahawa ingatkan kena
237,binguung berhasil merasakan dibutuhkan menyenangkan senang
238,terabaikan pulang jaga menanggung ada
239,selamat mengharapkan terima melahirkan
240,lakukan kurun pastikan
241,buruk ujungnya terkecuali menghindari
242,kepanikan dikenal
243,diam
244,muda luput dipicu menemukan
245,menyelamatkan
246,kerap dirasakan memiliki sehat menjaga dikonsultasikan ada
247,salah satunya mendorong humasjabar
248,nyokap meh keras lupa kaya lakukan puas kaya sehat
249,sehat kuat abai
250,gelisah merasakannya biarkan berlarut ikuti mengatasi kerap muncul
251,hai khawatir wajar dialami
252,inspiratif bangkit melawan selamat menyaksikan
253,selamat meningkatkan menjaga
254,peduli membagikan lakukan
255,jujur berharap capai tolong ditambah fokusnya menang dijauhi
256,selamat mempengaruhi krisis
257,meningkat sedar mudah hilang takkan baharu
258,mbak berbagi menjaga
259,bikin terganggu pencegahannya wearestrong
260,mudah kirim chat
261,lapas ikuti jenderal tekankan berbagi menentu berpengaruh negatif psikologis
262,mundur bikin kepotong berangkat cepat tampil kalah merusak
263,hanya berdampak berdampak menyerang buruk sosial selengkapnya
264,mendukung mengalami belajar
265,posisinya unik unik langsung yogis terkenal salah mengobati
266,perkuat jenderal tekankan berbagi menentu berpengaruh negatif psikologis
267,perkuat jenderal tekankan berbagi menentu berpengaruh negatif psikologis
268,perkuat jenderal tekankan berbagi menentu berpengaruh negatif psikologis memperkuat
269,perkuat jenderal tekankan berbagi menentu berpengaruh negatif psikologis memperkuat
270,perkuat jenderal tekankan berbagi menentu berpengaruh negatif psikologis memperkuat gnxveh
271,perkuat jenderal tekankan berbagi menentu berpengaruh negatif psikologis memperkuat
272,merusak
273,ajaib panggil ortunya mulutnya kuat
274,buruk mundur melawan
275,kayaknya indonesia minimal finansial berperilaku
276,sedih itukan ada penyakitnya
277,selamat isunya isunya
278,lupa selamat lupa hati
279,kalah beli
280,serius
281,sehat kuat ngaruhnya kefisik lupa
282,donadam silalahi kakak
283,pakai
284,banci
285,mcam
286,butuh kuat kuat
287,dennysirregar
288,gesmirch aneh
289,utbk masuk kuat anyinggg
290,xbb
291,abis
292,mental
293,lupa selamat lupa hati
294,stabil
295,giniamatsii pelukan
296,melayani
297,indonya ada pokoknya lar
298,takut dibilamg
299,yusuf tinggal
300,hanya
301,poguthu ahu
302,mental
303,xbb
304,lupa selamat lupa hati
305,mentalnya kuat
306,abis pikir makan tuanya tmebh
307,cari ribut
308,gomsung melatih
309,lokal
310,lupa selamat lupa hati
311,lupa selamat lupa hati
312,coro
313,mental
314,mental
315,beda ada kuat mudah
316,bawa krama noraknya bergenetik katro
317,utama sehat kak
318,membicarakan
319,dirawat
320,yeh coba
321,haechanbongil
322,merusak melatih
323,nadya terbaik berwibawa dipaksa
324,mental
325,hamyun tuh yupi
326,memilih salah kaya susah
327,berkali diobati berkali
328,hanandatok miskin beda wkwkwk
329,wkwk
330,langsung kena
331,mental
332,aman
333,hasangazali
334,langsung kena
335,siapkan
336,hihi wkwkwk
337,mental
338,ada tuh ownernya
339,merasakan kakak mental
340,aman merasakan
341,merasakan aman wkwk
342,bebal kuat kjcu
343,bangkong
344,aremani
345,mengandalkan dibanding
346,mental
347,cau lakukan merusak
348,bohong
349,dikatain miskin bagus
350,benahi bermain kurangi
351,persiapkan
352,ebong bisanya hanya bikin
353,kuat xba
354,kuat merusak
355,yupi
356,kaya
357,jokowi anut merusak
358,ada
359,kaya duh pulang membangun
360,tuh
361,lupa selamat lupa hati
362,rugi rjrrzgyrru
363,mental
364,memperbaiki
365,merusak
366,mental
367,hwangmetii
368,yhuyun peduli
369,lupa selamat lupa hati
370,gmnhh
371,hybayiiiii kakak teruji kuat mental
372,bahas
373,butuhkan libur brou
374,hyeoksshi
375,kuat
376,siapkan
377,berbicara
378,sdenta ibunya kudu bayinya siapkan menghadapi ziqgguporp
379,belajar
380,lewati berat tercapai
381,deh
382,terbaik ada
383,kayaknya kena
384,wkwk
385,pemainnya bingung beli
386,pemain ada ada
387,ucl
388,asli
389,beda
390,kalah kedepannya susah
391,sepakat sih
392,mewah
393,susah kakak mainya
394,keras
395,aseli akhi tinggal
396,aman
397,diuji
398,hengni koreonya yah
399,mental
400,capai misuh
401,imdinus hanya mata
402,imkyulii mental
403,mental
404,cerai
405,mengumpulkan
406,siapkan endingnya membagongkan
407,kuat nangis
408,takut sesak gondrong
409,yupi
410,parah sih
411,merah rambut
412,takutnya syokkk
413,gratis dilewatkan magadir
414,ketikan
415,kaya
416,nih
417,yupi
418,mental
419,stabil nampaknya 
420,kayaknya cinta
421,tenang persiapkan
422,cederaa
423,seenggaknya nunjukkin ditinggal binta
424,kalah
425,puas pemain pulih pfsvtfhrqp
426,hanya siapin
427,ditinggal
428,dewasa dewasa mental
429,skak kebdohanya 
430,merusak
431,aman
432,nunggu
433,beragama keroyokan nyali ramai
434,berani ramai ramai
435,iskandarishud negatifnya gampang
436,tuh penipuannya kakak capai
437,jawa
438,kuat wkwk
439,siapkan
440,itsmenainaii aman wkwk
441,bro
442,persiapkan tugasnya xadoh maksudnya mental sksk
443,sehat dibandingnkan
444,bikin non sunda
445,merubah tuh
446,jatuh
447,awas
448,cakap siapkan brondong
449,takut orngnya kena
450,mental
451,beruntung beli
452,siapkan hati
453,gapeduli sistemnya seru
454,masuk
455,jaga siapkan pakai
456,kodhi kodhi iruka
457,kuat
458,jakeeput
459,jakunfiraun biar mental
460,ngatain mental
461,jamal
462,jamal healthnya montang
463,jametcijantung akun rvhgp
464,teruk
465,janmaotalai lulus depannya ngulang
466,dibahasanya via halu mental
467,ashernya berulah
468,jarwokuat
469,jasjusssirsak hati
470,lancar terbuka percaya
471,jauharsyh healthnya bagus
472,memperkuat healthh
473,hebat menghancurkan maksudnya
474,intern mental
475,mengerikan
476,temu mah
477,mental
478,tuh
479,positif pakai xbb
480,jeeechangmin melibatkan takan
481,namanya mental pengecut takut
482,realistis kritis masuk
483,abah lai
484,kuaik tukan
485,yong iki kakanya 
486,cari bikin kena
487,kuat
488,breakup membaca makan taiscqxtvk
489,merah
490,bohong ucl
491,ada
492,ngakandeul mah
493,istrahat capai
494,nichenya menjanjikan
495,akeh
496,jencoui mental
497,jendxral
498,kuat
499,baca bahureksa
500,mbak kuat
501,kakak
502,dilancarkan
503,mbah
504,lupa selamat lupa hati
505,lupa lupa hati
506,puas deh mental
507,sehat
508,membaik kakak
509,jeromepolin
510,jesahyun anaknya kena tuh
511,salah kebaikannya ktk faktanya sakit hati
512,menjatuhkan
513,jgaluhpati replynya wkwksk
514,jgaluhpati notif
515,mental
516,kena
517,lupa selamat lupa hati
518,mental
519,atasnya liat
520,lupa selamat lupa hati
521,siapkan
522,lemah
523,jinkokin
524,jinniekecil
525,pakai salah pakai salah gampang aarghh
526,siapkan
527,jisung mental
528,yupi
529,huhuhuhu beda beda tua tuh
530,jiwooayangku
531,bandingkan
532,jjaejaepeach kuat qewdltk
533,penjelasannya gimana
534,sehat
535,keras babi
536,lupa selamat lupa hati
537,jjnbllh lemah
538,kuat
539,kaya debut yupi
540,lupa hati
541,takut aneh kuat yupi
542,kuatkan debut
543,lupa selamat lupa hati
544,lemah
545,langsung kena
546,kaya terbentuk
547,kuat berwenang kuat
548,picik sih kuat membandingkan
549,capai capai
550,main
551,jojokuat tuh bikin
552,jojousephu kul
553,lihat banggakan
554,silalahi buka
555,korupsinya radikal ditertibkan
556,langsung kena
557,mangap mangap
558,mbak mental
559,rusak mental
560,mental
561,kui marka lurus rawani nyalip
562,supirnya kena hanya fcfrfymjka
563,sehat
564,top setrong xbb
565,aman itung mental
566,lupa
567,produktif
568,langsung kena
569,coba ngeganggu
570,ada
571,kuat dilatih xbb
572,sendernya prik
573,banci
574,banci bencong
575,pikir
576,oh
577,etikanya amburadul
578,menyedihkan
