Tweets,ISI,sentiment,tokenization,remove_stopword,normalisasi_tweet,tweet
selama pandemi dirumah saja  tidak  pergi sekolah ternyata really good for mental kesehatan hanya enaknya begitu  masalah mah ada saja ,selama pandemi dirumah saja tidak pergi sekolah ternyata really good for mental kesehatan hanya enaknya begitu masalah mah ada saja ,selama pandemi dirumah saja tidak pergi sekolah ternyata really good for mental kesehatan hanya enaknya begitu masalah mah ada saja ,"['selama', 'pandemi', 'dirumah', 'saja', 'tidak', 'pergi', 'sekolah', 'ternyata', 'really', 'good', 'for', 'mental', 'kesehatan', 'hanya', 'enaknya', 'begitu', 'masalah', 'mah', 'ada', 'saja', '']","['pandemi', 'dirumah', 'pergi', 'sekolah', 'really', 'good', 'for', 'mental', 'kesehatan', 'enaknya', 'mah', 'ada', '']","['pandemi', 'dirumah', 'pergi', 'sekolah', 'really', 'good', 'for', 'mental', 'kesehatan', 'enaknya', 'mah', 'ada', '']",pandemi dirumah pergi sekolah really good for mental kesehatan enaknya mah ada
siapa berpotensi mengalami masalah mental pandemi covid apa perlu dilakukan menjaga kesehatan mental pandemi simak radio talk bersama lawancovid19 bnpb indonesia ingatpesanibu sudahdivaksintetap3m vaksinmelindungikitasemua ldz6cdc9z9,siapa berpotensi mengalami masalah mental pandemi covid apa perlu dilakukan menjaga kesehatan mental pandemi simak radio talk bersama lawancovid bnpb indonesia ingatpesanibu sudahdivaksintetap vaksinmelindungikitasemua ldz cdc ,siapa berpotensi mengalami masalah mental pandemi covid apa perlu dilakukan menjaga kesehatan mental pandemi simak radio talk bersama lawancovid bnpb indonesia ingatpesanibu sudahdivaksintetap vaksinmelindungikitasemua ldz cdc ,"['siapa', 'berpotensi', 'mengalami', 'masalah', 'mental', 'pandemi', 'covid', 'apa', 'perlu', 'dilakukan', 'menjaga', 'kesehatan', 'mental', 'pandemi', 'simak', 'radio', 'talk', 'bersama', 'lawancovid', 'bnpb', 'indonesia', 'ingatpesanibu', 'sudahdivaksintetap', 'vaksinmelindungikitasemua', 'ldz', 'cdc', '']","['berpotensi', 'mengalami', 'mental', 'pandemi', 'covid', 'menjaga', 'kesehatan', 'mental', 'pandemi', 'simak', 'radio', 'talk', 'lawancovid', 'bnpb', 'indonesia', 'ingatpesanibu', 'sudahdivaksintetap', 'vaksinmelindungikitasemua', 'ldz', 'cdc', '']","['berpotensi', 'mengalami', 'mental', 'pandemi', 'covid', 'menjaga', 'kesehatan', 'mental', 'pandemi', 'simak', 'radio', 'talk', 'lawancovid', 'bnpb', 'indonesia', 'ingatpesanibu', 'sudahdivaksintetap', 'vaksinmelindungikitasemua', 'ldz', 'cdc', '']",berpotensi mengalami mental pandemi covid menjaga kesehatan mental pandemi simak radio talk lawancovid bnpb indonesia ingatpesanibu sudahdivaksintetap vaksinmelindungikitasemua ldz cdc
simak tips sederhana menjaga kesehatan mental pandemi merahputihcom tips selfcare selflove rnshennkn5,simak tips sederhana menjaga kesehatan mental pandemi merahputihcom tips selfcare selflove rnshennkn ,simak tips sederhana menjaga kesehatan mental pandemi merahputihcom tips selfcare selflove rnshennkn ,"['simak', 'tips', 'sederhana', 'menjaga', 'kesehatan', 'mental', 'pandemi', 'merahputihcom', 'tips', 'selfcare', 'selflove', 'rnshennkn', '']","['simak', 'tips', 'sederhana', 'menjaga', 'kesehatan', 'mental', 'pandemi', 'merahputihcom', 'tips', 'selfcare', 'selflove', 'rnshennkn', '']","['simak', 'tips', 'sederhana', 'menjaga', 'kesehatan', 'mental', 'pandemi', 'merahputihcom', 'tips', 'selfcare', 'selflove', 'rnshennkn', '']",simak tips sederhana menjaga kesehatan mental pandemi merahputihcom tips selfcare selflove rnshennkn
yuk bantu penuhi nutrisigardaterdepan tim medis ini berjuang garda terdepan menangani kasus covid tidak sedikit mengalami kelelahan fisik mental tingginya beban kerja akibat covid berdampak pada menurunnya imunitas,yuk bantu penuhi nutrisigardaterdepan tim medis ini berjuang garda terdepan menangani kasus covid tidak sedikit mengalami kelelahan fisik mental tingginya beban kerja akibat covid berdampak pada menurunnya imunitas,yuk bantu penuhi nutrisigardaterdepan tim medis ini berjuang garda terdepan menangani kasus covid tidak sedikit mengalami kelelahan fisik mental tingginya beban kerja akibat covid berdampak pada menurunnya imunitas,"['yuk', 'bantu', 'penuhi', 'nutrisigardaterdepan', 'tim', 'medis', 'ini', 'berjuang', 'garda', 'terdepan', 'menangani', 'kasus', 'covid', 'tidak', 'sedikit', 'mengalami', 'kelelahan', 'fisik', 'mental', 'tingginya', 'beban', 'kerja', 'akibat', 'covid', 'berdampak', 'pada', 'menurunnya', 'imunitas']","['yuk', 'bantu', 'penuhi', 'nutrisigardaterdepan', 'tim', 'medis', 'berjuang', 'garda', 'terdepan', 'menangani', 'covid', 'mengalami', 'kelelahan', 'fisik', 'mental', 'tingginya', 'beban', 'kerja', 'akibat', 'covid', 'berdampak', 'menurunnya', 'imunitas']","['yuk', 'bantu', 'penuhi', 'nutrisigardaterdepan', 'tim', 'medis', 'berjuang', 'garda', 'terdepan', 'menangani', 'covid', 'mengalami', 'kelelahan', 'fisik', 'mental', 'tingginya', 'beban', 'kerja', 'akibat', 'covid', 'berdampak', 'menurunnya', 'imunitas']",yuk bantu penuhi nutrisigardaterdepan tim medis berjuang garda terdepan menangani covid mengalami kelelahan fisik mental tingginya beban kerja akibat covid berdampak menurunnya imunitas
ahh besok sudah  mulung streaming nya tiring day ngantuk sangat  lelah fisik mental wkwkwkw trying xe2 x80 xa6 9jc6r8jik8,ahh besok sudah mulung streaming nya tiring day ngantuk sangat lelah fisik mental wkwkwkw trying jik ,ahh besok sudah mulung streaming nya tiring day ngantuk sangat lelah fisik mental wkwkwkw trying jik ,"['ahh', 'besok', 'sudah', 'mulung', 'streaming', 'nya', 'tiring', 'day', 'ngantuk', 'sangat', 'lelah', 'fisik', 'mental', 'wkwkwkw', 'trying', 'jik', '']","['ahh', 'besok', 'mulung', 'streaming', 'nya', 'tiring', 'day', 'ngantuk', 'lelah', 'fisik', 'mental', 'wkwkwkw', 'trying', 'jik', '']","['ahh', 'besok', 'mulung', 'streaming', 'nya', 'tiring', 'day', 'ngantuk', 'lelah', 'fisik', 'mental', 'wkwkwkw', 'trying', 'jik', '']",ahh besok mulung streaming nya tiring day ngantuk lelah fisik mental wkwkwkw trying jik
jadilah pribadi sederhana pribadi memiliki mental kaya mental kaya bukan memiliki banyak xe2 x80 xa6 jkz9cor6bz,jadilah pribadi sederhana pribadi memiliki mental kaya mental kaya bukan memiliki banyak jkz cor ,jadilah pribadi sederhana pribadi memiliki mental kaya mental kaya bukan memiliki banyak jkz cor ,"['jadilah', 'pribadi', 'sederhana', 'pribadi', 'memiliki', 'mental', 'kaya', 'mental', 'kaya', 'bukan', 'memiliki', 'banyak', 'jkz', 'cor', '']","['pribadi', 'sederhana', 'pribadi', 'memiliki', 'mental', 'kaya', 'mental', 'kaya', 'memiliki', 'jkz', 'cor', '']","['pribadi', 'sederhana', 'pribadi', 'memiliki', 'mental', 'kaya', 'mental', 'kaya', 'memiliki', 'jkz', 'cor', '']",pribadi sederhana pribadi memiliki mental kaya mental kaya memiliki jkz cor
katanya lelah mental kok saya nangis tiba xc2 xb2 terus  yak jawaban selalu kepala saya yaudah xe2 x80 xa6 wed47m9zw9,katanya lelah mental kok saya nangis tiba terus yak jawaban selalu kepala saya yaudah wed ,katanya lelah mental kok saya nangis tiba terus yak jawaban selalu kepala saya yaudah wed ,"['katanya', 'lelah', 'mental', 'kok', 'saya', 'nangis', 'tiba', 'terus', 'yak', 'jawaban', 'selalu', 'kepala', 'saya', 'yaudah', 'wed', '']","['lelah', 'mental', 'nangis', 'yak', 'kepala', 'yaudah', 'wed', '']","['lelah', 'mental', 'nangis', 'yak', 'kepala', 'yaudah', 'wed', '']",lelah mental nangis yak kepala yaudah wed
kesehatan keadaan sejahtera fisik mental sosial utuh bukan bebas penyakit xe2 x80 xa6 lw5wvshoy4,kesehatan keadaan sejahtera fisik mental sosial utuh bukan bebas penyakit wvshoy ,kesehatan keadaan sejahtera fisik mental sosial utuh bukan bebas penyakit wvshoy ,"['kesehatan', 'keadaan', 'sejahtera', 'fisik', 'mental', 'sosial', 'utuh', 'bukan', 'bebas', 'penyakit', 'wvshoy', '']","['kesehatan', 'sejahtera', 'fisik', 'mental', 'sosial', 'utuh', 'bebas', 'penyakit', 'wvshoy', '']","['kesehatan', 'sejahtera', 'fisik', 'mental', 'sosial', 'utuh', 'bebas', 'penyakit', 'wvshoy', '']",kesehatan sejahtera fisik mental sosial utuh bebas penyakit wvshoy
kiky saputri semprot anak kuliahan singgung mental kesehatan lelah sekali  allah kikysaputri xe2 x80 xa6 s5l1sm4w0s,kiky saputri semprot anak kuliahan singgung mental kesehatan lelah sekali allah kikysaputri ,kiky saputri semprot anak kuliahan singgung mental kesehatan lelah sekali allah kikysaputri ,"['kiky', 'saputri', 'semprot', 'anak', 'kuliahan', 'singgung', 'mental', 'kesehatan', 'lelah', 'sekali', 'allah', 'kikysaputri', '']","['kiky', 'saputri', 'semprot', 'anak', 'kuliahan', 'singgung', 'mental', 'kesehatan', 'lelah', 'allah', 'kikysaputri', '']","['kiky', 'saputri', 'semprot', 'anak', 'kuliahan', 'singgung', 'mental', 'kesehatan', 'lelah', 'allah', 'kikysaputri', '']",kiky saputri semprot anak kuliahan singgung mental kesehatan lelah allah kikysaputri
permasaum bersukan bah dulu xf0 x9f x91 xa9 xe2 x80 x8d xe2 x9a x95 exco sukan rekreasi permasa perkongsian info kesihatan mental maksud masalah kes xe2 x80 xa6,permasaum bersukan bah dulu exco sukan rekreasi permasa perkongsian info kesihatan mental maksud masalah kes ,permasaum bersukan bah dulu exco sukan rekreasi permasa perkongsian info kesihatan mental maksud masalah kes ,"['permasaum', 'bersukan', 'bah', 'dulu', 'exco', 'sukan', 'rekreasi', 'permasa', 'perkongsian', 'info', 'kesihatan', 'mental', 'maksud', 'masalah', 'kes', '']","['permasaum', 'bersukan', 'bah', 'exco', 'sukan', 'rekreasi', 'permasa', 'perkongsian', 'info', 'kesihatan', 'mental', 'maksud', 'kes', '']","['permasaum', 'bersukan', 'bah', 'exco', 'sukan', 'rekreasi', 'permasa', 'perkongsian', 'info', 'kesihatan', 'mental', 'maksud', 'kes', '']",permasaum bersukan bah exco sukan rekreasi permasa perkongsian info kesihatan mental maksud kes
minggu pjj terus  sekarang ptm berasa habis maraton anjir lelah fisik sama mental,minggu pjj terus sekarang ptm berasa habis maraton anjir lelah fisik sama mental,minggu pjj terus sekarang ptm berasa habis maraton anjir lelah fisik sama mental,"['minggu', 'pjj', 'terus', 'sekarang', 'ptm', 'berasa', 'habis', 'maraton', 'anjir', 'lelah', 'fisik', 'sama', 'mental']","['minggu', 'pjj', 'ptm', 'berasa', 'habis', 'maraton', 'anjir', 'lelah', 'fisik', 'mental']","['minggu', 'pjj', 'ptm', 'berasa', 'habis', 'maraton', 'anjir', 'lelah', 'fisik', 'mental']",minggu pjj ptm berasa habis maraton anjir lelah fisik mental
wolfhorschele kuat sangat  mental nonton offline saya saja  lelah melihatnya,wolfhorschele kuat sangat mental nonton offline saya saja lelah melihatnya,wolfhorschele kuat sangat mental nonton offline saya saja lelah melihatnya,"['wolfhorschele', 'kuat', 'sangat', 'mental', 'nonton', 'offline', 'saya', 'saja', 'lelah', 'melihatnya']","['wolfhorschele', 'kuat', 'mental', 'nonton', 'offline', 'lelah']","['wolfhorschele', 'kuat', 'mental', 'nonton', 'offline', 'lelah']",wolfhorschele kuat mental nonton offline lelah
afmhmdd butuh hiburan bestie search tidak  temu  mental aman xf0 x9f x98 x82,afmhmdd butuh hiburan bestie search tidak temu mental aman ,afmhmdd butuh hiburan bestie search tidak temu mental aman ,"['afmhmdd', 'butuh', 'hiburan', 'bestie', 'search', 'tidak', 'temu', 'mental', 'aman', '']","['afmhmdd', 'butuh', 'hiburan', 'bestie', 'search', 'temu', 'mental', 'aman', '']","['afmhmdd', 'butuh', 'hiburan', 'bestie', 'search', 'temu', 'mental', 'aman', '']",afmhmdd butuh hiburan bestie search temu mental aman
agssaputro idextratime akbargundol mental aman kakak,agssaputro idextratime akbargundol mental aman kakak,agssaputro idextratime akbargundol mental aman kakak,"['agssaputro', 'idextratime', 'akbargundol', 'mental', 'aman', 'kakak']","['agssaputro', 'idextratime', 'akbargundol', 'mental', 'aman', 'kakak']","['agssaputro', 'idextratime', 'akbargundol', 'mental', 'aman', 'kakak']",agssaputro idextratime akbargundol mental aman kakak
akuwibowooaja kerjaan aman mental kesehatan kaga sek era mental kesehatan trust issue,akuwibowooaja kerjaan aman mental kesehatan kaga sek era mental kesehatan trust issue,akuwibowooaja kerjaan aman mental kesehatan kaga sek era mental kesehatan trust issue,"['akuwibowooaja', 'kerjaan', 'aman', 'mental', 'kesehatan', 'kaga', 'sek', 'era', 'mental', 'kesehatan', 'trust', 'issue']","['akuwibowooaja', 'kerjaan', 'aman', 'mental', 'kesehatan', 'kaga', 'sek', 'era', 'mental', 'kesehatan', 'trust', 'issue']","['akuwibowooaja', 'kerjaan', 'aman', 'mental', 'kesehatan', 'kaga', 'sek', 'era', 'mental', 'kesehatan', 'trust', 'issue']",akuwibowooaja kerjaan aman mental kesehatan kaga sek era mental kesehatan trust issue
aldihaydarm hahahahhahahh tidak  ngomongnya semoga kesehatan mental semua terus terjaga xf0 x9f x98 xad,aldihaydarm hahahahhahahh tidak ngomongnya semoga kesehatan mental semua terus terjaga xad,aldihaydarm hahahahhahahh tidak ngomongnya semoga kesehatan mental semua terus terjaga xad,"['aldihaydarm', 'hahahahhahahh', 'tidak', 'ngomongnya', 'semoga', 'kesehatan', 'mental', 'semua', 'terus', 'terjaga', 'xad']","['aldihaydarm', 'hahahahhahahh', 'ngomongnya', 'semoga', 'kesehatan', 'mental', 'terjaga', 'xad']","['aldihaydarm', 'hahahahhahahh', 'ngomongnya', 'semoga', 'kesehatan', 'mental', 'terjaga', 'xad']",aldihaydarm hahahahhahahh ngomongnya semoga kesehatan mental terjaga xad
alvyaprilia jangan lelah mental amp fisiknya pih xf0 x9f x99 x86 xf0 x9f x8f xbb xe2 x80 x8d xe2 x99 x80 xef xb8 x8f,alvyaprilia jangan lelah mental amp fisiknya pih xbb xef ,alvyaprilia jangan lelah mental amp fisiknya pih xbb xef ,"['alvyaprilia', 'jangan', 'lelah', 'mental', 'amp', 'fisiknya', 'pih', 'xbb', 'xef', '']","['alvyaprilia', 'lelah', 'mental', 'amp', 'fisiknya', 'pih', 'xbb', 'xef', '']","['alvyaprilia', 'lelah', 'mental', 'amp', 'fisiknya', 'pih', 'xbb', 'xef', '']",alvyaprilia lelah mental amp fisiknya pih xbb xef
anataisme semoga masalahnya cepat selesai ya kalau capai  istirahat jangan paksa nanti  mental kamu kega xe2 x80 xa6 msclb0bncc,anataisme semoga masalahnya cepat selesai kalau capai istirahat jangan paksa nanti mental kamu kega msclb bncc,anataisme semoga masalahnya cepat selesai kalau capai istirahat jangan paksa nanti mental kamu kega msclb bncc,"['anataisme', 'semoga', 'masalahnya', 'cepat', 'selesai', 'kalau', 'capai', 'istirahat', 'jangan', 'paksa', 'nanti', 'mental', 'kamu', 'kega', 'msclb', 'bncc']","['anataisme', 'semoga', 'cepat', 'selesai', 'capai', 'istirahat', 'paksa', 'mental', 'kega', 'msclb', 'bncc']","['anataisme', 'semoga', 'cepat', 'selesai', 'capai', 'istirahat', 'paksa', 'mental', 'kega', 'msclb', 'bncc']",anataisme semoga cepat selesai capai istirahat paksa mental kega msclb bncc
andrianhamdani bukan masalah taktik teknik masalah mental,andrianhamdani bukan masalah taktik teknik masalah mental,andrianhamdani bukan masalah taktik teknik masalah mental,"['andrianhamdani', 'bukan', 'masalah', 'taktik', 'teknik', 'masalah', 'mental']","['andrianhamdani', 'taktik', 'teknik', 'mental']","['andrianhamdani', 'taktik', 'teknik', 'mental']",andrianhamdani taktik teknik mental
anggafi40331928 idextratime disenggol nangis mental aman kakak,anggafi idextratime disenggol nangis mental aman kakak,anggafi idextratime disenggol nangis mental aman kakak,"['anggafi', 'idextratime', 'disenggol', 'nangis', 'mental', 'aman', 'kakak']","['anggafi', 'idextratime', 'disenggol', 'nangis', 'mental', 'aman', 'kakak']","['anggafi', 'idextratime', 'disenggol', 'nangis', 'mental', 'aman', 'kakak']",anggafi idextratime disenggol nangis mental aman kakak
aremafcofficial mental aman genk hahah,aremafcofficial mental aman genk hahah,aremafcofficial mental aman genk hahah,"['aremafcofficial', 'mental', 'aman', 'genk', 'hahah']","['aremafcofficial', 'mental', 'aman', 'genk', 'hahah']","['aremafcofficial', 'mental', 'aman', 'genk', 'hahah']",aremafcofficial mental aman genk hahah
armyfess trimksh sudah  mengingatkan semoga  mental tetap aman xf0 x9f x98 x89 xf0 x9f x92 xaa xf0 x9f x8f xbb,armyfess trimksh sudah mengingatkan semoga mental tetap aman xaa xbb,armyfess trimksh sudah mengingatkan semoga mental tetap aman xaa xbb,"['armyfess', 'trimksh', 'sudah', 'mengingatkan', 'semoga', 'mental', 'tetap', 'aman', 'xaa', 'xbb']","['armyfess', 'trimksh', 'semoga', 'mental', 'aman', 'xaa', 'xbb']","['armyfess', 'trimksh', 'semoga', 'mental', 'aman', 'xaa', 'xbb']",armyfess trimksh semoga mental aman xaa xbb
artistsbase kesiapan mental tidak  sih siap ngadepin orang sabar sih terutama konsisten harus tanggung jawab  kelebihan disiplin,artistsbase kesiapan mental tidak sih siap ngadepin orang sabar sih terutama konsisten harus tanggung jawab kelebihan disiplin,artistsbase kesiapan mental tidak sih siap ngadepin orang sabar sih terutama konsisten harus tanggung jawab kelebihan disiplin,"['artistsbase', 'kesiapan', 'mental', 'tidak', 'sih', 'siap', 'ngadepin', 'orang', 'sabar', 'sih', 'terutama', 'konsisten', 'harus', 'tanggung', 'jawab', 'kelebihan', 'disiplin']","['artistsbase', 'kesiapan', 'mental', 'sih', 'ngadepin', 'orang', 'sabar', 'sih', 'konsisten', 'tanggung', 'kelebihan', 'disiplin']","['artistsbase', 'kesiapan', 'mental', 'sih', 'ngadepin', 'orang', 'sabar', 'sih', 'konsisten', 'tanggung', 'kelebihan', 'disiplin']",artistsbase kesiapan mental sih ngadepin orang sabar sih konsisten tanggung kelebihan disiplin
astracinez oke kak maaf tidak berani takut mental breakdown xf0 x9f x99 x8f xf0 x9f x8f xbc xf0 x9f x99 x8f xf0 x9f x8f xbc,astracinez oke kak maaf tidak berani takut mental breakdown xbc xbc,astracinez oke kak maaf tidak berani takut mental breakdown xbc xbc,"['astracinez', 'oke', 'kak', 'maaf', 'tidak', 'berani', 'takut', 'mental', 'breakdown', 'xbc', 'xbc']","['astracinez', 'oke', 'kak', 'maaf', 'berani', 'takut', 'mental', 'breakdown', 'xbc', 'xbc']","['astracinez', 'oke', 'kak', 'maaf', 'berani', 'takut', 'mental', 'breakdown', 'xbc', 'xbc']",astracinez oke kak maaf berani takut mental breakdown xbc xbc
asttanggi reni txtdrberseragam saya baca nya saja  takut bisa2 nya kuat mental ngebalesin nya,asttanggi reni txtdrberseragam saya baca nya saja takut bisa nya kuat mental ngebalesin nya,asttanggi reni txtdrberseragam saya baca nya saja takut bisa nya kuat mental ngebalesin nya,"['asttanggi', 'reni', 'txtdrberseragam', 'saya', 'baca', 'nya', 'saja', 'takut', 'bisa', 'nya', 'kuat', 'mental', 'ngebalesin', 'nya']","['asttanggi', 'reni', 'txtdrberseragam', 'baca', 'nya', 'takut', 'nya', 'kuat', 'mental', 'ngebalesin', 'nya']","['asttanggi', 'reni', 'txtdrberseragam', 'baca', 'nya', 'takut', 'nya', 'kuat', 'mental', 'ngebalesin', 'nya']",asttanggi reni txtdrberseragam baca nya takut nya kuat mental ngebalesin nya
avogattoo benar  sekali  menikah bukan yang mudah siap mental fisik,avogattoo benar sekali menikah bukan yang mudah siap mental fisik,avogattoo benar sekali menikah bukan yang mudah siap mental fisik,"['avogattoo', 'benar', 'sekali', 'menikah', 'bukan', 'yang', 'mudah', 'siap', 'mental', 'fisik']","['avogattoo', 'menikah', 'mudah', 'mental', 'fisik']","['avogattoo', 'menikah', 'mudah', 'mental', 'fisik']",avogattoo menikah mudah mental fisik
aynprln tidak bisa retweett apa ya suka nih mental mental gini wkwk saya twiternya aman aman gini suka yang membicarakan ,aynprln tidak bisa retweett apa suka nih mental mental gini wkwk saya twiternya aman aman gini suka yang membicarakan ,aynprln tidak bisa retweett apa suka nih mental mental gini wkwk saya twiternya aman aman gini suka yang membicarakan ,"['aynprln', 'tidak', 'bisa', 'retweett', 'apa', 'suka', 'nih', 'mental', 'mental', 'gini', 'wkwk', 'saya', 'twiternya', 'aman', 'aman', 'gini', 'suka', 'yang', 'membicarakan', '']","['aynprln', 'retweett', 'suka', 'nih', 'mental', 'mental', 'gini', 'wkwk', 'twiternya', 'aman', 'aman', 'gini', 'suka', 'membicarakan', '']","['aynprln', 'retweett', 'suka', 'nih', 'mental', 'mental', 'gini', 'wkwk', 'twiternya', 'aman', 'aman', 'gini', 'suka', 'membicarakan', '']",aynprln retweett suka nih mental mental gini wkwk twiternya aman aman gini suka membicarakan
badmintoneropa palinganakudipehape sabar min drtadi kena mental xf0 x9f x98 x83,badmintoneropa palinganakudipehape sabar min drtadi kena mental ,badmintoneropa palinganakudipehape sabar min drtadi kena mental ,"['badmintoneropa', 'palinganakudipehape', 'sabar', 'min', 'drtadi', 'kena', 'mental', '']","['badmintoneropa', 'palinganakudipehape', 'sabar', 'min', 'drtadi', 'kena', 'mental', '']","['badmintoneropa', 'palinganakudipehape', 'sabar', 'min', 'drtadi', 'kena', 'mental', '']",badmintoneropa palinganakudipehape sabar min drtadi kena mental
baeyijin semoga obatnya rajin diminum sehari takutnya jadi penyakit mental yukkk sehat yuuukkk,baeyijin semoga obatnya rajin diminum sehari takutnya jadi penyakit mental yukkk sehat yuuukkk,baeyijin semoga obatnya rajin diminum sehari takutnya jadi penyakit mental yukkk sehat yuuukkk,"['baeyijin', 'semoga', 'obatnya', 'rajin', 'diminum', 'sehari', 'takutnya', 'jadi', 'penyakit', 'mental', 'yukkk', 'sehat', 'yuuukkk']","['baeyijin', 'semoga', 'obatnya', 'rajin', 'diminum', 'sehari', 'takutnya', 'penyakit', 'mental', 'yukkk', 'sehat', 'yuuukkk']","['baeyijin', 'semoga', 'obatnya', 'rajin', 'diminum', 'sehari', 'takutnya', 'penyakit', 'mental', 'yukkk', 'sehat', 'yuuukkk']",baeyijin semoga obatnya rajin diminum sehari takutnya penyakit mental yukkk sehat yuuukkk
barcastuff idn mental ucl memang  beda menang terliat mudah padahal sempet kewalahan,barcastuff idn mental ucl memang beda menang terliat mudah padahal sempet kewalahan,barcastuff idn mental ucl memang beda menang terliat mudah padahal sempet kewalahan,"['barcastuff', 'idn', 'mental', 'ucl', 'memang', 'beda', 'menang', 'terliat', 'mudah', 'padahal', 'sempet', 'kewalahan']","['barcastuff', 'idn', 'mental', 'ucl', 'beda', 'menang', 'terliat', 'mudah', 'sempet', 'kewalahan']","['barcastuff', 'idn', 'mental', 'ucl', 'beda', 'menang', 'terliat', 'mudah', 'sempet', 'kewalahan']",barcastuff idn mental ucl beda menang terliat mudah sempet kewalahan
beyourlight99 gimana sih rasanyaa sumpah mau sangat  takut mental lemah saat benar  kejadian,beyourlight gimana sih rasanyaa sumpah mau sangat takut mental lemah saat benar kejadian,beyourlight gimana sih rasanyaa sumpah mau sangat takut mental lemah saat benar kejadian,"['beyourlight', 'gimana', 'sih', 'rasanyaa', 'sumpah', 'mau', 'sangat', 'takut', 'mental', 'lemah', 'saat', 'benar', 'kejadian']","['beyourlight', 'gimana', 'sih', 'rasanyaa', 'sumpah', 'takut', 'mental', 'lemah', 'kejadian']","['beyourlight', 'gimana', 'sih', 'rasanyaa', 'sumpah', 'takut', 'mental', 'lemah', 'kejadian']",beyourlight gimana sih rasanyaa sumpah takut mental lemah kejadian
boboiboy siapin mental dulu boy takut baperrr cry,boboiboy siapin mental dulu boy takut baperrr cry,boboiboy siapin mental dulu boy takut baperrr cry,"['boboiboy', 'siapin', 'mental', 'dulu', 'boy', 'takut', 'baperrr', 'cry']","['boboiboy', 'siapin', 'mental', 'boy', 'takut', 'baperrr', 'cry']","['boboiboy', 'siapin', 'mental', 'boy', 'takut', 'baperrr', 'cry']",boboiboy siapin mental boy takut baperrr cry
box2boxbola manager board manager cari punya mental juara juga board sabar membangun tim xe2 x80 xa6 j3zm7ovdkc,box boxbola manager board manager cari punya mental juara juga board sabar membangun tim ovdkc,box boxbola manager board manager cari punya mental juara juga board sabar membangun tim ovdkc,"['box', 'boxbola', 'manager', 'board', 'manager', 'cari', 'punya', 'mental', 'juara', 'juga', 'board', 'sabar', 'membangun', 'tim', 'ovdkc']","['box', 'boxbola', 'manager', 'board', 'manager', 'cari', 'mental', 'juara', 'board', 'sabar', 'membangun', 'tim', 'ovdkc']","['box', 'boxbola', 'manager', 'board', 'manager', 'cari', 'mental', 'juara', 'board', 'sabar', 'membangun', 'tim', 'ovdkc']",box boxbola manager board manager cari mental juara board sabar membangun tim ovdkc
box2boxbola mental tidak  dibeli boss pemain gajinya kegedean terlalu nyaman cenderung kya tentara bayar xe2 x80 xa6 nhj5dyjwrn,box boxbola mental tidak dibeli boss pemain gajinya kegedean terlalu nyaman cenderung kya tentara bayar nhj dyjwrn,box boxbola mental tidak dibeli boss pemain gajinya kegedean terlalu nyaman cenderung kya tentara bayar nhj dyjwrn,"['box', 'boxbola', 'mental', 'tidak', 'dibeli', 'boss', 'pemain', 'gajinya', 'kegedean', 'terlalu', 'nyaman', 'cenderung', 'kya', 'tentara', 'bayar', 'nhj', 'dyjwrn']","['box', 'boxbola', 'mental', 'dibeli', 'boss', 'pemain', 'gajinya', 'kegedean', 'nyaman', 'cenderung', 'kya', 'tentara', 'bayar', 'nhj', 'dyjwrn']","['box', 'boxbola', 'mental', 'dibeli', 'boss', 'pemain', 'gajinya', 'kegedean', 'nyaman', 'cenderung', 'kya', 'tentara', 'bayar', 'nhj', 'dyjwrn']",box boxbola mental dibeli boss pemain gajinya kegedean nyaman cenderung kya tentara bayar nhj dyjwrn
buttcrumbw takut kena mental,buttcrumbw takut kena mental,buttcrumbw takut kena mental,"['buttcrumbw', 'takut', 'kena', 'mental']","['buttcrumbw', 'takut', 'kena', 'mental']","['buttcrumbw', 'takut', 'kena', 'mental']",buttcrumbw takut kena mental
chachashafira2 iya benar  bisa jadi afsthk sabar belum  siap mental xf0 x9f x98 x94 xf0 x9f x98 x94 xf0 x9f x98 xad xf0 x9f x98 xad,chachashafira iya benar bisa jadi afsthk sabar belum siap mental xad xad,chachashafira iya benar bisa jadi afsthk sabar belum siap mental xad xad,"['chachashafira', 'iya', 'benar', 'bisa', 'jadi', 'afsthk', 'sabar', 'belum', 'siap', 'mental', 'xad', 'xad']","['chachashafira', 'iya', 'afsthk', 'sabar', 'mental', 'xad', 'xad']","['chachashafira', 'iya', 'afsthk', 'sabar', 'mental', 'xad', 'xad']",chachashafira iya afsthk sabar mental xad xad
convomf tulis kalau lisan kasihan jantung sama mental tidak  aman,convomf tulis kalau lisan kasihan jantung sama mental tidak aman,convomf tulis kalau lisan kasihan jantung sama mental tidak aman,"['convomf', 'tulis', 'kalau', 'lisan', 'kasihan', 'jantung', 'sama', 'mental', 'tidak', 'aman']","['convomf', 'tulis', 'lisan', 'kasihan', 'jantung', 'mental', 'aman']","['convomf', 'tulis', 'lisan', 'kasihan', 'jantung', 'mental', 'aman']",convomf tulis lisan kasihan jantung mental aman
